time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.92416877046e-07,-7.62987031734e-09,10.0041432998,6.28317570227,0.0001874378452,0.0,-1.71877611759e-05,-7.69244415893e-07,0.138102537703,-0.000482212576092,0.0087362628143,0.0,448.4635248314899,449.17238972908353,448.85473233975256,448.8156076615463
0.12000000000000001,-8.198463782e-06,-4.86910156607e-07,10.0196147286,6.28306930255,0.000423349994318,0.0,-0.000299155454302,-2.33418580619e-05,0.377562806745,-0.00448960515598,-0.00801640359578,0.0,479.0404569476213,477.76504422607843,480.049742206904,479.74565101406785
0.18,-3.46733793868e-05,-5.67243727818e-06,10.0483558022,6.28234191925,0.000376168736925,0.0,-0.000555787754795,-0.000198646235016,0.580391521388,-0.0352997772061,0.010742192442,0.0,467.76197998391484,469.220314996095,469.8465724394702,467.4522156048282
0.23999999999999996,-7.87996920438e-05,-4.22615253194e-05,10.0854771588,6.27985156619,0.00170777639676,0.0,-0.00101880799316,-0.00124362139488,0.656945250131,-0.0583357203981,0.0386185772003,0.0,428.1531969236741,430.51806039378835,431.1584128831522,429.2069420936522
0.3,-0.000183233979089,-0.000197518130777,10.1275390359,6.27656092959,0.00374300000273,0.0,-0.00268259769242,-0.00427097189367,0.745061486886,-0.0486454827941,0.0223097880646,0.0,433.13899306928965,431.76593740487215,434.29158717680724,435.1013719833273
0.36000000000000004,-0.000426589629978,-0.000600960209448,10.1751824145,6.27399763919,0.00528055037189,0.0,-0.00557596064178,-0.00945326691549,0.842980843477,-0.0329337962169,0.0315461845313,0.0,436.37955145231484,437.1499076792364,436.2433482083237,437.5520391753214
0.4200000000000001,-0.000875883844937,-0.00136192613772,10.2284402997,6.2724711637,0.0073890798341,0.0,-0.00960184778328,-0.0160843061724,0.932210109238,-0.0135795994922,0.04150599461,0.0,434.1109275504467,434.9463125875586,433.09997964542504,434.7243469793773
0.48000000000000015,-0.0016311069078,-0.00257447359502,10.2895251057,6.27195587277,0.009472743575,0.0,-0.0158349223434,-0.0244054894551,1.10379687865,-0.000115834519442,0.0155682281146,0.0,461.40349250695,459.35188678067453,459.0158059711347,460.0830051299786
0.5400000000000001,-0.00281768736788,-0.00431341030887,10.3625995937,6.27139724068,0.0105014212426,0.0,-0.0238343827273,-0.0335720061318,1.33178045306,-0.0430859947967,0.0201242795488,0.0,476.1294237793401,476.4777224954526,479.3737483874598,476.0976912853651
0.6000000000000002,-0.00447867223856,-0.00659145254442,10.4463857679,6.26922150883,0.0114874567455,0.0,-0.0316480774414,-0.0426110826837,1.46093096645,-0.0252642287787,0.00778476215896,0.0,448.30062378372844,447.2968658664007,447.1593101570167,448.60796849554026
0.6600000000000003,-0.00664079579853,-0.0094717118745,10.5391197873,6.26719963523,0.0120029421965,0.0,-0.0404753160335,-0.0535805805355,1.62997359183,-0.0615035155384,0.0101578480684,0.0,460.8210739182976,461.00848295765087,461.3221268049614,458.4512358743086
0.7200000000000003,-0.00930739582784,-0.0130123750702,10.6388859729,6.26448089642,0.0128545158898,0.0,-0.0484820255446,-0.0647393336543,1.69546433636,-0.0244066584727,0.0212394017223,0.0,428.0833228451948,429.02507974947775,426.8751669870703,430.02717734876427
0.7800000000000004,-0.0125029544129,-0.0173099306152,10.744720872,6.26281637372,0.0151507215403,0.0,-0.0582390550568,-0.0786755637203,1.83214975493,-0.0354229962771,0.0598821816052,0.0,450.0524887146551,453.1697420936923,451.31463780353243,450.4244645296631
0.8400000000000004,-0.0163567769535,-0.0225020933581,10.8597182216,6.26099739972,0.0185598188723,0.0,-0.0706109293721,-0.0946101157806,2.00080318946,-0.0216785942332,0.0498554427101,0.0,461.6722169431928,460.8825291080026,461.0940202613544,462.17819073049
0.9000000000000005,-0.0209953456932,-0.0286502148565,10.9831292961,6.25984864758,0.0212397681238,0.0,-0.0843014354022,-0.110449463006,2.11268903064,-0.0145091403963,0.0314748266216,0.0,445.97230905262853,444.4696366381817,443.75398662777167,444.3421278303629
0.9600000000000005,-0.026535553113,-0.0358019961881,11.1145551543,6.25894572373,0.0229994408668,0.0,-0.100567287751,-0.128034127448,2.26786960516,-0.016150314184,0.0246461475707,0.0,458.74360760866085,458.20130665900876,458.4626058502081,458.3323064673858
1.0200000000000005,-0.0330335074921,-0.0439703744214,11.2528684571,6.25776892724,0.0249011792935,0.0,-0.116196675196,-0.14434600684,2.34241540946,-0.0276383134781,0.0429886569475,0.0,433.5197974551037,435.0586259240599,434.01251648078335,433.0472925819694
1.0800000000000005,-0.0405399862407,-0.0531728843708,11.3967983223,6.25575386313,0.027684001311,0.0,-0.134292722087,-0.162585011866,2.45499690318,-0.049431130014,0.0524204612538,0.0,446.3721066103098,447.14236233360566,446.7365526054878,444.9555267330577
1.1400000000000006,-0.0492062459798,-0.0635301515698,11.5479410163,6.25274874371,0.0311508539053,0.0,-0.154927497935,-0.1829660403,2.58278987914,-0.0514264181625,0.0667795317402,0.0,451.46340217235337,452.62266788562897,451.16976726289954,451.0071061980035
1.2000000000000006,-0.0592104855654,-0.0751966168605,11.7074363759,6.2497721291,0.0353622649765,0.0,-0.17898691435,-0.206236679733,2.73334408894,-0.0462061962308,0.0762592716197,0.0,460.0904029100645,460.843860743316,457.68544513259246,458.0992546793744
